EARN,EMP#,DATE,HRS,RATE,AMOUNT
REG,2087,11/12/2012,3.13,30.48,98.04
REG,2087,11/12/2012,4.47,30.8,147.33
REG,2087,11/13/2012,3.13,30.48,98.04
REG,2087,11/13/2012,4.47,30.8,147.33
REG,2087,11/14/2012,3.13,30.48,98.04
REG,2087,11/14/2012,4.47,30.8,147.33
REG,2087,11/15/2012,3.13,30.48,98.04
REG,2087,11/15/2012,4.47,30.8,147.33
REG,2087,11/16/2012,4.58,30.48,151.38
REG,2087,11/17/2012,5.38,30.48,171.7
REG,2087,11/17/2012,2.22,30.8,72.89
REG,2087,11/19/2012,3.13,30.48,98.04
REG,2087,11/19/2012,4.47,30.8,147.33
REG,2087,11/20/2012,3.13,30.48,98.04
REG,2087,11/20/2012,4.47,30.8,147.33
REG,2087,11/21/2012,3.13,30.48,98.04
REG,2087,11/21/2012,4.47,30.8,147.33
REG,2088,11/12/2012,2.50,30.48,86.36
REG,2088,11/12/2012,5.10,30.8,159.13
REG,2088,11/13/2012,6.13,30.48,189.48
REG,2088,11/13/2012,1.47,30.8,54.93
REG,2088,11/14/2012,6.13,30.48,189.48
REG,2088,11/14/2012,1.47,30.8,54.93
REG,2088,11/15/2012,6.13,30.48,189.48
REG,2088,11/15/2012,1.47,30.8,54.93
REG,2088,11/16/2012,6.13,30.48,189.48
REG,2088,11/16/2012,1.47,30.8,54.93
REG,2088,11/19/2012,6.13,30.48,189.48
REG,2088,11/19/2012,1.47,30.8,54.93
REG,2088,11/20/2012,6.13,30.48,189.48
REG,2088,11/20/2012,1.47,30.8,54.93
REG,2088,11/21/2012,6.13,30.48,189.48
REG,2088,11/21/2012,1.47,30.8,54.93
REG,2088,11/22/2012,4.11,30.48,127.51
REG,2088,11/22/2012,3.49,30.8,117.55
REG,2170,11/11/2012,8.00,36.8,294.4
REG,2170,11/12/2012,8.00,36.8,294.4
REG,2170,11/14/2012,8.00,36.8,294.4
REG,2170,11/15/2012,8.00,36.8,294.4
REG,2170,11/16/2012,8.00,36.8,294.4
REG,2170,11/17/2012,8.00,36.8,294.4
REG,2170,11/18/2012,8.00,30.48,243.84
REG,2170,11/19/2012,6.18,30.48,192.02
REG,2170,11/19/2012,1.42,30.8,52.36
REG,2170,11/20/2012,6.18,30.48,192.02
REG,2170,11/20/2012,1.42,30.8,52.36
REG,2200,11/10/2012,8.00,30.48,243.84
REG,2200,11/11/2012,4.19,30.48,131.57
REG,2200,11/11/2012,3.41,30.8,113.45
REG,2200,11/14/2012,6.01,30.48,183.39
REG,2200,11/14/2012,1.59,30.8,61.09
REG,2200,11/15/2012,6.01,30.48,183.39
REG,2200,11/15/2012,1.59,30.8,61.09
REG,2200,11/16/2012,4.58,30.48,151.38
REG,2200,11/17/2012,8.00,30.48,243.84
REG,2200,11/18/2012,4.19,30.48,131.57
REG,2200,11/18/2012,3.41,30.8,113.45
REG,2200,11/21/2012,6.01,30.48,183.39
REG,2200,11/21/2012,1.59,30.8,61.09
REG,2200,11/23/2012,8.00,30.48,243.84
REG,2279,11/12/2012,3.12,30.48,97.54
REG,2279,11/12/2012,4.48,30.8,147.84
REG,2279,11/13/2012,4.58,30.48,151.38
REG,2279,11/13/2012,3.02,30.8,93.43
REG,2279,11/14/2012,4.58,30.48,151.38
REG,2279,11/14/2012,3.02,30.8,93.43
REG,2279,11/15/2012,4.58,30.48,151.38
REG,2279,11/15/2012,3.02,30.8,93.43
REG,2279,11/16/2012,4.58,30.48,151.38
REG,2279,11/16/2012,3.02,30.8,93.43
REG,2279,11/19/2012,6.21,30.48,193.55
REG,2279,11/19/2012,1.39,30.8,50.82
REG,2279,11/21/2012,6.21,30.48,193.55
REG,2279,11/21/2012,1.39,30.8,50.82
REG,2280,11/12/2012,4.00,30.48,121.92
REG,2280,11/12/2012,4.00,30.8,123.2
REG,2280,11/13/2012,4.02,30.48,122.94
REG,2280,11/13/2012,3.58,30.8,122.17
REG,2280,11/14/2012,4.02,30.48,122.94
REG,2280,11/14/2012,3.58,30.8,122.17
REG,2280,11/15/2012,4.02,30.48,122.94
REG,2280,11/15/2012,3.58,30.8,122.17
REG,2280,11/16/2012,4.02,30.48,122.94
REG,2280,11/16/2012,3.58,30.8,122.17
REG,2280,11/19/2012,4.02,30.48,122.94
REG,2280,11/19/2012,3.58,30.8,122.17
REG,2280,11/20/2012,4.02,30.48,122.94
REG,2280,11/20/2012,3.58,30.8,122.17
REG,2280,11/21/2012,4.02,30.48,122.94
REG,2280,11/21/2012,3.58,30.8,122.17
REG,2280,11/22/2012,8.00,30.48,243.84
REG,2312,11/10/2012,1.08,30.48,34.54
REG,2312,11/10/2012,6.52,30.8,211.49
REG,2312,11/11/2012,8.00,30.48,243.84
REG,2312,11/12/2012,1.09,30.48,35.05
REG,2312,11/12/2012,6.51,30.8,210.98
REG,2312,11/13/2012,2.50,30.48,86.36
REG,2312,11/13/2012,5.10,30.8,159.13
REG,2312,11/16/2012,4.06,30.48,124.97
REG,2312,11/16/2012,3.54,30.8,120.12
REG,2312,11/17/2012,1.08,30.48,34.54
REG,2312,11/17/2012,6.52,30.8,211.49
REG,2312,11/18/2012,3.29,30.48,106.17
REG,2312,11/18/2012,4.31,30.8,139.11
REG,2312,11/19/2012,8.00,30.8,246.4
REG,2312,11/23/2012,8.00,30.48,243.84
REG,2313,11/20/2012,4.52,30.48,148.34
REG,2313,11/20/2012,3.08,30.8,96.51
REG,2313,11/21/2012,4.52,30.48,148.34
REG,2313,11/21/2012,3.08,30.8,96.51
REG,2313,11/23/2012,8.00,30.48,243.84
REG,2314,11/10/2012,8.00,30.48,243.84
REG,2314,11/11/2012,8.00,30.48,243.84
REG,2314,11/12/2012,6.15,30.48,190.5
REG,2314,11/12/2012,1.45,30.8,53.9
REG,2314,11/15/2012,6.15,30.48,190.5
REG,2314,11/15/2012,1.45,30.8,53.9
REG,2314,11/16/2012,6.15,30.48,190.5
REG,2314,11/16/2012,1.45,30.8,53.9
REG,2314,11/17/2012,8.00,30.48,243.84
REG,2314,11/18/2012,8.00,30.48,243.84
REG,2314,11/19/2012,6.15,30.48,190.5
REG,2314,11/19/2012,1.45,30.8,53.9
REG,2314,11/23/2012,8.00,30.48,243.84
REG,2319,11/10/2012,5.38,30.48,171.7
REG,2319,11/10/2012,2.22,30.8,72.89
REG,2319,11/11/2012,8.00,30.48,243.84
REG,2319,11/12/2012,4.26,30.48,135.13
REG,2319,11/12/2012,3.34,30.8,109.85
REG,2319,11/13/2012,4.53,30.48,148.84
REG,2319,11/13/2012,3.07,30.8,95.99
REG,2319,11/14/2012,4.53,30.48,148.84
REG,2319,11/14/2012,3.07,30.8,95.99
REG,2319,11/17/2012,5.47,30.48,176.28
REG,2319,11/17/2012,2.13,30.8,68.27
REG,2319,11/18/2012,8.00,30.48,243.84
REG,2319,11/19/2012,4.53,30.48,148.84
REG,2319,11/19/2012,3.07,30.8,95.99
REG,2319,11/20/2012,4.53,30.48,148.84
REG,2319,11/20/2012,3.07,30.8,95.99
REG,2319,11/21/2012,4.53,30.48,148.84
REG,2319,11/21/2012,3.07,30.8,95.99
REG,2332,11/10/2012,8.00,30.48,243.84
REG,2332,11/11/2012,6.06,30.48,185.93
REG,2332,11/11/2012,1.54,30.8,58.52
REG,2332,11/12/2012,4.47,30.48,145.8
REG,2332,11/12/2012,3.13,30.8,99.07
REG,2332,11/15/2012,4.36,30.48,140.21
REG,2332,11/15/2012,3.24,30.8,104.72
REG,2332,11/16/2012,4.36,30.48,140.21
REG,2332,11/16/2012,3.24,30.8,104.72
REG,2332,11/17/2012,8.00,30.48,243.84
REG,2332,11/18/2012,6.06,30.48,185.93
REG,2332,11/18/2012,1.54,30.8,58.52
REG,2332,11/19/2012,4.36,30.48,140.21
REG,2332,11/19/2012,3.24,30.8,104.72
REG,2349,11/10/2012,5.46,30.48,175.77
REG,2349,11/10/2012,2.14,30.8,68.79
REG,2349,11/13/2012,8.00,30.8,246.4
REG,2349,11/14/2012,8.00,30.8,246.4
REG,2349,11/15/2012,8.00,30.8,246.4
REG,2349,11/16/2012,8.00,30.8,246.4
REG,2351,11/11/2012,5.27,30.48,166.12
REG,2351,11/11/2012,2.33,30.8,78.54
REG,2351,11/12/2012,5.48,30.48,176.78
REG,2351,11/12/2012,2.12,30.8,67.76
REG,2351,11/13/2012,5.48,30.48,176.78
REG,2351,11/13/2012,2.12,30.8,67.76
REG,2351,11/14/2012,5.48,30.48,176.78
REG,2351,11/14/2012,2.12,30.8,67.76
REG,2351,11/15/2012,5.48,30.48,176.78
REG,2351,11/15/2012,2.12,30.8,67.76
REG,2351,11/18/2012,5.27,30.48,166.12
REG,2351,11/18/2012,2.33,30.8,78.54
REG,2351,11/19/2012,5.48,30.48,176.78
REG,2351,11/19/2012,2.12,30.8,67.76
REG,2351,11/20/2012,5.48,30.48,176.78
REG,2351,11/20/2012,2.12,30.8,67.76
REG,2351,11/21/2012,5.48,30.48,176.78
