EARN,EMP#,DATE,HRS,RATE,AMOUNT,,,,,,,,,,,,
REG,2279,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2280,11/19/2012,4.02,30.48,122.94,,,,,,,,,,,,
REG,2280,11/19/2012,3.58,30.8,122.17,,,,,,,,,,,,
REG,2280,11/20/2012,4.02,30.48,122.94,,,,,,,,,,,,
REG,2280,11/20/2012,3.58,30.8,122.17,,,,,,,,,,,,
REG,2280,11/21/2012,4.02,30.48,122.94,,,,,,,,,,,,
REG,2280,11/21/2012,3.58,30.8,122.17,,,,,,,,,,,,
REG,2280,11/22/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2280,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2312,11/17/2012,1.08,30.48,34.54,,,,,,,,,,,,
REG,2312,11/17/2012,6.52,30.8,211.49,,,,,,,,,,,,
REG,2312,11/18/2012,3.29,30.48,106.17,,,,,,,,,,,,
REG,2312,11/18/2012,4.31,30.8,139.11,,,,,,,,,,,,
REG,2312,11/19/2012,8.00,30.8,246.4,,,,,,,,,,,,
REG,2312,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2313,11/17/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2313,11/20/2012,4.52,30.48,148.34,,,,,,,,,,,,
REG,2313,11/20/2012,3.08,30.8,96.51,,,,,,,,,,,,
REG,2313,11/21/2012,4.52,30.48,148.34,,,,,,,,,,,,
REG,2313,11/21/2012,3.08,30.8,96.51,,,,,,,,,,,,
REG,2313,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2314,11/17/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2314,11/18/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2314,11/19/2012,6.15,30.48,190.5,,,,,,,,,,,,
REG,2314,11/19/2012,1.45,30.8,53.9,,,,,,,,,,,,
REG,2314,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2319,11/17/2012,5.47,30.48,176.28,,,,,,,,,,,,
REG,2319,11/17/2012,2.13,30.8,68.27,,,,,,,,,,,,
REG,2319,11/18/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2319,11/19/2012,4.53,30.48,148.84,,,,,,,,,,,,
REG,2319,11/19/2012,3.07,30.8,95.99,,,,,,,,,,,,
REG,2319,11/20/2012,4.53,30.48,148.84,,,,,,,,,,,,
REG,2319,11/20/2012,3.07,30.8,95.99,,,,,,,,,,,,
REG,2319,11/21/2012,4.53,30.48,148.84,,,,,,,,,,,,
REG,2319,11/21/2012,3.07,30.8,95.99,,,,,,,,,,,,
REG,2332,11/17/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2332,11/18/2012,6.06,30.48,185.93,,,,,,,,,,,,
REG,2332,11/18/2012,1.54,30.8,58.52,,,,,,,,,,,,
REG,2332,11/19/2012,4.36,30.48,140.21,,,,,,,,,,,,
REG,2332,11/19/2012,3.24,30.8,104.72,,,,,,,,,,,,
REG,2332,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2351,11/18/2012,5.27,30.48,166.12,,,,,,,,,,,,
REG,2351,11/18/2012,2.33,30.8,78.54,,,,,,,,,,,,
REG,2351,11/19/2012,5.48,30.48,176.78,,,,,,,,,,,,
REG,2351,11/19/2012,2.12,30.8,67.76,,,,,,,,,,,,
REG,2351,11/20/2012,5.48,30.48,176.78,,,,,,,,,,,,
REG,2351,11/20/2012,2.12,30.8,67.76,,,,,,,,,,,,
REG,2351,11/21/2012,5.48,30.48,176.78,,,,,,,,,,,,
REG,2351,11/21/2012,2.12,30.8,67.76,,,,,,,,,,,,
REG,2358,11/18/2012,5.55,30.48,180.34,,,,,,,,,,,,
REG,2358,11/18/2012,2.05,30.8,64.17,,,,,,,,,,,,
REG,2358,11/19/2012,5.00,30.48,152.4,,,,,,,,,,,,
REG,2358,11/19/2012,3.00,30.8,92.4,,,,,,,,,,,,
REG,2358,11/20/2012,5.00,30.48,152.4,,,,,,,,,,,,
REG,2358,11/20/2012,3.00,30.8,92.4,,,,,,,,,,,,
REG,2358,11/21/2012,5.00,30.48,152.4,,,,,,,,,,,,
REG,2358,11/21/2012,3.00,30.8,92.4,,,,,,,,,,,,
REG,2529,11/17/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2529,11/18/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2529,11/19/2012,4.07,30.48,125.48,,,,,,,,,,,,
REG,2529,11/19/2012,3.53,30.8,119.61,,,,,,,,,,,,
REG,2529,11/22/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2529,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2554,11/19/2012,2.50,30.48,86.36,,,,,,,,,,,,
REG,2554,11/19/2012,5.10,30.8,159.13,,,,,,,,,,,,
REG,2554,11/20/2012,2.50,30.48,86.36,,,,,,,,,,,,
REG,2554,11/20/2012,5.10,30.8,159.13,,,,,,,,,,,,
REG,2554,11/21/2012,2.50,30.48,86.36,,,,,,,,,,,,
REG,2554,11/21/2012,5.10,30.8,159.13,,,,,,,,,,,,
REG,2554,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2569,11/19/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2569,11/20/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2569,11/21/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2569,11/22/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2569,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2574,11/19/2012,2.41,30.48,81.79,,,,,,,,,,,,
REG,2574,11/19/2012,5.19,30.8,163.75,,,,,,,,,,,,
REG,2574,11/20/2012,2.41,30.48,81.79,,,,,,,,,,,,
REG,2574,11/20/2012,5.19,30.8,163.75,,,,,,,,,,,,
